Model,Learning Rate,Batch Size,Optimizer,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
AlexNet,0.01,64,SGD,11,0.4916564,83.0575,0.575056572,79.85
AlexNet,0.01,64,SGD,12,0.460850147,84.165,0.605710605,80.34
AlexNet,0.01,64,SGD,13,0.433938821,85.08,0.552876028,81.84
AlexNet,0.01,64,SGD,14,0.413685602,85.6825,0.53594018,81.73
AlexNet,0.01,64,SGD,15,0.396871136,86.4175,0.501019707,83.5
AlexNet,0.01,64,Adam,1,5168.358722,9.7425,2.303359513,10
AlexNet,0.01,64,Adam,2,1312.187085,10.1725,2.305214934,10
AlexNet,0.01,64,Adam,3,2.426425332,9.745,2.306582906,10
AlexNet,0.01,64,Adam,4,2.326361413,9.86,2.304750173,10
AlexNet,0.01,64,Adam,5,2.309948509,10.025,2.31164608,10
AlexNet,0.01,64,Adam,6,2.328142509,10.0825,2.303974049,10
AlexNet,0.01,64,Adam,7,2.334670259,9.8775,2.305906303,10
AlexNet,0.01,64,Adam,8,2.307096427,9.95,2.305061579,10
AlexNet,0.01,64,Adam,9,2.306699466,9.7,2.305997064,10
AlexNet,0.01,64,Adam,10,2.30888716,9.88,2.30642674,10
AlexNet,0.01,64,Adam,11,2.36287937,9.89,2.315208871,10
AlexNet,0.01,64,Adam,12,2.309710212,10.08,2.30497298,10
AlexNet,0.01,64,Adam,13,206276.7857,9.945,2.304246821,10
AlexNet,0.01,64,Adam,14,45.97966418,9.91,2.303921225,10
AlexNet,0.01,64,Adam,15,2.342551882,9.8675,2.303046212,10
MobileNet,0.1,32,SGD,1,1.838762328,34.68,1.672501004,39.46
MobileNet,0.1,32,SGD,2,1.291870368,53.5675,1.176372016,57.91
MobileNet,0.1,32,SGD,3,1.088874504,61.91,1.267686694,56.06
MobileNet,0.1,32,SGD,4,1.03177493,64.185,1.298195134,54.3
MobileNet,0.1,32,SGD,5,1.00087498,65.325,1.090397833,62.82
MobileNet,0.1,32,SGD,6,0.986435807,65.9575,1.543114207,49.67
MobileNet,0.1,32,SGD,7,0.978218835,66.17,1.049311895,63.06
MobileNet,0.1,32,SGD,8,0.989986508,65.7725,1.47573889,49.55
MobileNet,0.1,32,SGD,9,1.017287408,65.0325,1.166444188,56.99
MobileNet,0.1,32,SGD,10,1.000213321,65.2725,1.088707807,62.84
MobileNet,0.1,32,SGD,11,0.991215093,65.7575,1.108547141,62.53
MobileNet,0.1,32,SGD,12,0.999029922,65.3825,1.339925256,56.43
MobileNet,0.1,32,SGD,13,1.014282781,64.735,1.096361112,62.53
MobileNet,0.1,32,SGD,14,1.009667916,65.1,1.071512686,63.19
MobileNet,0.1,32,SGD,15,1.011011835,65.2175,2.061042687,34.28
MobileNet,0.1,32,Adam,1,2.247555959,15.83,2.856280558,10
MobileNet,0.1,32,Adam,2,2.253133614,12.28,2.323676515,10
MobileNet,0.1,32,Adam,3,2.323699778,9.98,2.310631683,10
MobileNet,0.1,32,Adam,4,2.325478691,9.785,2.325541935,10
MobileNet,0.1,32,Adam,5,2.325464928,10.03,2.312546225,10
MobileNet,0.1,32,Adam,6,2.323999188,9.9575,2.307982175,10
MobileNet,0.1,32,Adam,7,2.324765931,9.8325,2.315461016,10
MobileNet,0.1,32,Adam,8,2.324451946,10.03,2.311020482,10
MobileNet,0.1,32,Adam,9,2.324953303,10.0325,2.309766862,10
MobileNet,0.1,32,Adam,10,2.324233829,9.735,2.317728286,10
MobileNet,0.1,32,Adam,11,2.32427144,9.9975,2.315108755,10
MobileNet,0.1,32,Adam,12,2.3216269,10.3975,2.335791848,10
MobileNet,0.1,32,Adam,13,2.324323008,10.0075,2.314629807,10
MobileNet,0.1,32,Adam,14,2.322555305,10.265,2.320412812,10
MobileNet,0.1,32,Adam,15,2.325891886,10.0625,2.309603779,10
MobileNet,0.1,64,SGD,1,1.854223508,36.2375,1.346712426,51.07
MobileNet,0.1,64,SGD,2,1.207883801,56.7925,1.222730436,56.37
MobileNet,0.1,64,SGD,3,0.939255492,66.9725,1.318780535,55.13
MobileNet,0.1,64,SGD,4,0.811294203,72.01,1.411663618,52.04
MobileNet,0.1,64,SGD,5,0.750298773,73.9025,1.112952902,62.15
MobileNet,0.1,64,SGD,6,0.72357252,74.8975,0.835170348,71.91
MobileNet,0.1,64,SGD,7,0.725140813,74.945,1.190913362,60.1
MobileNet,0.1,64,SGD,8,0.712342617,75.44,0.966094124,67.54
MobileNet,0.1,64,SGD,9,0.719408984,75.3775,0.724150404,75.35
MobileNet,0.1,64,SGD,10,0.715984482,75.12,1.242482833,59.75
MobileNet,0.1,64,SGD,11,0.711101474,75.795,0.862643893,70.31
MobileNet,0.1,64,SGD,12,0.724992811,74.84,0.966592253,67.84
MobileNet,0.1,64,SGD,13,0.744391239,74.31,0.781008402,72.92
MobileNet,0.1,64,SGD,14,0.747170825,74.2,0.855871124,70.13
MobileNet,0.1,64,SGD,15,0.783783346,73.155,0.901801823,69.62
MobileNet,0.1,64,Adam,1,2.3364972,17.7625,2.641455815,10.39
MobileNet,0.1,64,Adam,2,2.037801829,18.3525,2.9059255,10
MobileNet,0.1,64,Adam,3,2.062235485,17.425,6.442293959,10
MobileNet,0.1,64,Adam,4,2.18333504,14.5825,2.305200999,10
MobileNet,0.1,64,Adam,5,2.313349436,9.985,2.311870508,10
MobileNet,0.1,64,Adam,6,2.314287936,10.0725,2.306738007,10
MobileNet,0.1,64,Adam,7,2.316721236,10.11,2.307608044,10
MobileNet,0.1,64,Adam,8,2.321013681,9.845,2.310891907,10
MobileNet,0.1,64,Adam,9,2.316689737,9.945,2.317290821,10
MobileNet,0.1,64,Adam,10,2.319361747,9.9025,2.309670713,10
MobileNet,0.1,64,Adam,11,2.316314645,9.785,2.309907131,10
MobileNet,0.1,64,Adam,12,2.314830308,10.21,2.31114007,10
MobileNet,0.1,64,Adam,13,2.318246653,9.83,2.310564094,10
MobileNet,0.1,64,Adam,14,2.318790916,10.28,2.341370406,10
MobileNet,0.1,64,Adam,15,2.317311484,9.98,2.307011626,10
MobileNet,0.01,32,SGD,1,1.590989293,42.285,1.241566626,55.53
MobileNet,0.01,32,SGD,2,1.067468743,62.4475,0.915523992,68.58
MobileNet,0.01,32,SGD,3,0.802950356,72.2575,0.685649423,76.29
MobileNet,0.01,32,SGD,4,0.674077228,76.9,0.60627414,79.36
MobileNet,0.01,32,SGD,5,0.582643066,80.0775,0.555236733,80.71
MobileNet,0.01,32,SGD,6,0.521780776,81.935,0.505554375,82.67
MobileNet,0.01,32,SGD,7,0.479586835,83.525,0.515526509,82.11
MobileNet,0.01,32,SGD,8,0.444408787,84.745,0.463609089,84.1
MobileNet,0.01,32,SGD,9,0.416504561,85.675,0.440366773,84.64
MobileNet,0.01,32,SGD,10,0.393478594,86.405,0.449001486,84.87
MobileNet,0.01,32,SGD,11,0.382592319,86.81,0.448859806,84.65
MobileNet,0.01,32,SGD,12,0.357974851,87.5725,0.428647877,85.84
MobileNet,0.01,32,SGD,13,0.346100479,88.01,0.430277001,85.19
MobileNet,0.01,32,SGD,14,0.332134214,88.4775,0.431589423,85.18
MobileNet,0.01,32,SGD,15,0.320250069,89.035,0.386667375,87.07
MobileNet,0.01,32,Adam,1,1.943451,23.43,2.017642289,23.51
MobileNet,0.01,32,Adam,2,1.780217722,29.55,1.962624816,29.14
MobileNet,0.01,32,Adam,3,1.724484416,32.705,1.814440669,31.01
MobileNet,0.01,32,Adam,4,1.678361506,35.6975,2.215083888,22.51
MobileNet,0.01,32,Adam,5,1.628136679,39.085,2.048218929,25.25
MobileNet,0.01,32,Adam,6,1.579995789,41.045,2.873101683,25.45
MobileNet,0.01,32,Adam,7,1.550980272,42.195,1.570762073,40.91
MobileNet,0.01,32,Adam,8,1.533805146,43.5075,1.782250656,35.01
MobileNet,0.01,32,Adam,9,1.509382085,44.735,1.849435822,31.5
MobileNet,0.01,32,Adam,10,1.508058836,44.685,1.621307782,40.62
MobileNet,0.01,32,Adam,11,1.4889845,45.38,1.587115622,42.29
MobileNet,0.01,32,Adam,12,1.470749324,46.11,1.425584227,47.41
MobileNet,0.01,32,Adam,13,1.44714711,47.035,1.409229363,47.19
MobileNet,0.01,32,Adam,14,1.430090915,47.9375,1.532207038,41.62
MobileNet,0.01,32,Adam,15,1.416565472,48.28,1.417549069,48.45
MobileNet,0.01,64,SGD,1,1.604162429,40.3125,1.334192771,51.18
MobileNet,0.01,64,SGD,2,1.095453417,61.025,0.957975342,66.73
MobileNet,0.01,64,SGD,3,0.840303521,70.5175,0.746763975,74.18
MobileNet,0.01,64,SGD,4,0.6882966,76.055,0.756594704,73.69
MobileNet,0.01,64,SGD,5,0.594217133,79.415,0.604054551,79.09
MobileNet,0.01,64,SGD,6,0.531797509,81.5,0.553433899,80.97
MobileNet,0.01,64,SGD,7,0.479396126,83.4,0.551290323,81.01
MobileNet,0.01,64,SGD,8,0.436949726,84.8625,0.499937544,83.07
MobileNet,0.01,64,SGD,9,0.400269779,86.0825,0.491479378,83.19
MobileNet,0.01,64,SGD,10,0.370886249,87.045,0.459764378,84.43
MobileNet,0.01,64,SGD,11,0.339856411,88.1925,0.474392853,83.59
MobileNet,0.01,64,SGD,12,0.320622465,88.7525,0.473192053,83.72
MobileNet,0.01,64,SGD,13,0.293815242,89.745,0.446465601,85.15
MobileNet,0.01,64,SGD,14,0.282127024,90.1525,0.451817099,85.15
MobileNet,0.01,64,SGD,15,0.26823526,90.56,0.431428659,85.38
MobileNet,0.01,64,Adam,1,1.889368147,27.0775,2.603845394,13.23
MobileNet,0.01,64,Adam,2,1.658919271,35.9975,1.894921998,29.18
MobileNet,0.01,64,Adam,3,1.522938526,42.89,2.004997792,34.58
MobileNet,0.01,64,Adam,4,1.436798928,46.665,1.663266867,39.59
MobileNet,0.01,64,Adam,5,1.361456756,49.95,1.545454174,43.98
MobileNet,0.01,64,Adam,6,1.321166597,51.7925,1.366026292,48.68
